"AttributeName","Description"
"A","MLB: Assists - Number of times a fielder assists in an out."
"AB","MLB: At Bats - Number of times a player faces a pitcher."
"active","MLB: Active Status - Indicates if a franchise is currently active."
"appearances","MLB: Appearances - Player game appearances across multiple roles."
"attendance","MLB: Attendance - Total number of spectators at home games."
"AuxClass","MLB: Auxiliary Class - Additional classification for schema attributes."
"awardID","MLB: Award ID - Identifier for a manager’s award."
"ballots","MLB: Ballots - Number of ballots cast for Hall of Fame voting."
"BAOpp","MLB: Batting Average Against - Opponents’ batting average against a pitcher."
"bats","MLB: Bats - Player’s batting hand (e.g., left, right, both)."
"batting","MLB: Batting Stats - Collection of batting-related statistics."
"BB","MLB: Base on Balls - Number of walks a batter receives."
"BBA","MLB: Bases on Balls Allowed - Walks allowed by a team’s pitchers."
"bbrefID","MLB: Baseball-Reference ID - Unique identifier from Baseball-Reference."
"BFP","MLB: Batters Faced by Pitcher - Total batters a pitcher faces."
"birthCity","MLB: Birth City - City where a player was born."
"birthCountry","MLB: Birth Country - Country where a player was born."
"birthDay","MLB: Birth Day - Day of the month a player was born."
"birthMonth","MLB: Birth Month - Month a player was born."
"birthState","MLB: Birth State - State where a player was born."
"birthYear","MLB: Birth Year - Year a player was born."
"BK","MLB: Balks - Illegal pitching actions by a pitcher."
"BPF","MLB: Batter Park Factor - Effect of park on batting stats."
"category","MLB: Category - Role or type for Hall of Fame nominee (e.g., player, manager)."
"CG","MLB: Complete Games - Games pitched entirely by one pitcher."
"city","MLB: City - Location city of a ballpark."
"country","MLB: Country - Country where a ballpark is located."
"CS","MLB: Caught Stealing - Times a runner is caught stealing a base."
"deathCity","MLB: Death City - City where a player passed away."
"deathCountry","MLB: Death Country - Country where a player passed away."
"deathDay","MLB: Death Day - Day of the month a player passed away."
"deathMonth","MLB: Death Month - Month a player passed away."
"deathState","MLB: Death State - State where a player passed away."
"deathYear","MLB: Death Year - Year a player passed away."
"debut","MLB: Debut - Date of a player’s first MLB game."
"divID","MLB: Division ID - Identifier for a team’s division."
"DivWin","MLB: Division Win - Indicates if a team won its division."
"DP","MLB: Double Plays - Number of double plays a fielder participated in."
"E","MLB: Errors - Number of fielding mistakes by a player."
