"SourceFile","AttributeName","AttributeType","Description","IsSingleValued"
"Fielding.csv","A","Integer","Found in Fielding.csv. 582 unique values out of 149365 total values (0 null/empty)","True"
"Batting.csv","AB","Integer","Found in Batting.csv. 699 unique values out of 112184 total values (0 null/empty)","True"
"TeamsFranchises.csv","active","String","Found in TeamsFranchises.csv. 3 unique values out of 120 total values (0 null/empty)","True"
"Hardcoded","appearances","MultiValue","Hardcoded MultiValue attribute","False"
"HomeGames.csv","attendance","Integer","Found in HomeGames.csv. 2930 unique values out of 3200 total values (0 null/empty)","True"
"schema_analysis.csv","AttributeName","String","Found in schema_analysis.csv. 149 unique values out of 327 total values (0 null/empty)","True"
"schema_analysis.csv","AttributeType","String","Found in schema_analysis.csv. 2 unique values out of 327 total values (0 null/empty)","True"
"schema_analysis.csv","AuxClass","String","Found in schema_analysis.csv. 1 unique values out of 327 total values (0 null/empty)","True"
"AwardsManagers.csv","awardID","String","Found in AwardsManagers.csv. 2 unique values out of 179 total values (0 null/empty)","True"
"HallOfFame.csv","ballots","String","Found in HallOfFame.csv. 77 unique values out of 4323 total values (197 null/empty)","True"
"Pitching.csv","BAOpp","String","Found in Pitching.csv. 504 unique values out of 50402 total values (4444 null/empty)","True"
"People.csv","bats","String","Found in People.csv. 3 unique values out of 20936 total values (1175 null/empty)","True"
"Hardcoded","batting","MultiValue","Hardcoded MultiValue attribute","False"
"Batting.csv","BB","Integer","Found in Batting.csv. 156 unique values out of 112184 total values (0 null/empty)","True"
"Teams.csv","BBA","Integer","Found in Teams.csv. 577 unique values out of 3015 total values (0 null/empty)","True"
"People.csv","bbrefID","String","Found in People.csv. 20925 unique values out of 20936 total values (11 null/empty)","True"
"Pitching.csv","BFP","Integer","Found in Pitching.csv. 1736 unique values out of 50402 total values (3 null/empty)","True"
"People.csv","birthCity","String","Found in People.csv. 5021 unique values out of 20936 total values (167 null/empty)","True"
"People.csv","birthCountry","String","Found in People.csv. 58 unique values out of 20936 total values (59 null/empty)","True"
"People.csv","birthDay","Integer","Found in People.csv. 31 unique values out of 20936 total values (415 null/empty)","True"
"People.csv","birthMonth","Integer","Found in People.csv. 12 unique values out of 20936 total values (273 null/empty)","True"
"People.csv","birthState","String","Found in People.csv. 316 unique values out of 20936 total values (529 null/empty)","True"
"People.csv","birthYear","Integer","Found in People.csv. 172 unique values out of 20936 total values (106 null/empty)","True"
"Pitching.csv","BK","Integer","Found in Pitching.csv. 16 unique values out of 50402 total values (0 null/empty)","True"
"Teams.csv","BPF","Integer","Found in Teams.csv. 44 unique values out of 3015 total values (0 null/empty)","True"
"HallOfFame.csv","category","String","Found in HallOfFame.csv. 4 unique values out of 4323 total values (0 null/empty)","True"
"Pitching.csv","CG","Integer","Found in Pitching.csv. 74 unique values out of 50402 total values (0 null/empty)","True"
"Parks.csv","city","String","Found in Parks.csv. 87 unique values out of 255 total values (0 null/empty)","True"
"Parks.csv","country","String","Found in Parks.csv. 7 unique values out of 255 total values (0 null/empty)","True"
"Batting.csv","CS","String","Found in Teams.csv. 138 unique values out of 3015 total values (831 null/empty)","True"
"People.csv","deathCity","String","Found in People.csv. 2758 unique values out of 20936 total values (10749 null/empty)","True"
"People.csv","deathCountry","String","Found in People.csv. 26 unique values out of 20936 total values (10744 null/empty)","True"
"People.csv","deathDay","Integer","Found in People.csv. 31 unique values out of 20936 total values (10742 null/empty)","True"
"People.csv","deathMonth","Integer","Found in People.csv. 12 unique values out of 20936 total values (10741 null/empty)","True"
