"SourceFile","AttributeName","AttributeType","Description","IsSingleValued"
"Fielding.csv","A","Integer","MLB: Assists - Number of times a fielder assists in an out.","True"
"Batting.csv","AB","Integer","MLB: At Bats - Number of times a player faces a pitcher.","True"
"TeamsFranchises.csv","active","String","MLB: Active Status - Indicates if a franchise is currently active.","True"
"Hardcoded","appearances","MultiValue","2025-03-22 MLB: Hardcoded MultiValue attribute","False"
"HomeGames.csv","attendance","Integer","MLB: Attendance - Total number of spectators at home games.","True"
"AwardsManagers.csv","awardID","String","MLB: Award ID - Identifier for a manager’s award.","True"
"HallOfFame.csv","ballots","String","MLB: Ballots - Number of ballots cast for Hall of Fame voting.","True"
"Pitching.csv","BAOpp","String","MLB: Batting Average Against - Opponents’ batting average against a pitcher.","True"
"People.csv","bats","String","MLB: Bats - Player’s batting hand (e.g., left, right, both).","True"
"Hardcoded","batting","MultiValue","2025-03-22 MLB: Hardcoded MultiValue attribute","False"
"Batting.csv","BB","Integer","MLB: Base on Balls - Number of walks a batter receives.","True"
"Teams.csv","BBA","Integer","MLB: Bases on Balls Allowed - Walks allowed by a team’s pitchers.","True"
"People.csv","bbrefID","String","MLB: Baseball-Reference ID - Unique identifier from Baseball-Reference.","True"
"Pitching.csv","BFP","Integer","MLB: Batters Faced by Pitcher - Total batters a pitcher faces.","True"
"People.csv","birthCity","String","MLB: Birth City - City where a player was born.","True"
"People.csv","birthCountry","String","MLB: Birth Country - Country where a player was born.","True"
"People.csv","birthDay","Integer","MLB: Birth Day - Day of the month a player was born.","True"
"People.csv","birthMonth","Integer","MLB: Birth Month - Month a player was born.","True"
"People.csv","birthState","String","MLB: Birth State - State where a player was born.","True"
"People.csv","birthYear","Integer","MLB: Birth Year - Year a player was born.","True"
"Pitching.csv","BK","Integer","MLB: Balks - Illegal pitching actions by a pitcher.","True"
"Teams.csv","BPF","Integer","MLB: Batter Park Factor - Effect of park on batting stats.","True"
"HallOfFame.csv","category","String","MLB: Category - Role or type for Hall of Fame nominee (e.g., player, manager).","True"
"Pitching.csv","CG","Integer","MLB: Complete Games - Games pitched entirely by one pitcher.","True"
"Parks.csv","city","String","MLB: City - Location city of a ballpark.","True"
"Batting.csv","CS","String","MLB: Caught Stealing - Times a runner is caught stealing a base.","True"
"People.csv","deathCity","String","MLB: Death City - City where a player passed away.","True"
"People.csv","deathCountry","String","MLB: Death Country - Country where a player passed away.","True"
"People.csv","deathDay","Integer","MLB: Death Day - Day of the month a player passed away.","True"
"People.csv","deathMonth","Integer","MLB: Death Month - Month a player passed away.","True"
"People.csv","deathState","String","MLB: Death State - State where a player passed away.","True"
"People.csv","deathYear","Integer","MLB: Death Year - Year a player passed away.","True"
"People.csv","debut","String","MLB: Debut - Date of a player’s first MLB game.","True"
"Teams.csv","divID","String","MLB: Division ID - Identifier for a team’s division.","True"
"Teams.csv","DivWin","String","MLB: Division Win - Indicates if a team won its division.","True"
"Fielding.csv","DP","Integer","MLB: Double Plays - Number of double plays a fielder participated in.","True"
"Fielding.csv","E","Integer","MLB: Errors - Number of fielding mistakes by a player.","True"
"Pitching.csv","ER","Integer","MLB: Earned Runs - Runs allowed by a pitcher due to hits/errors.","True"
"Pitching.csv","ERA","String","MLB: Earned Run Average - Average earned runs allowed per 9 innings.","True"
"Hardcoded","fielding","MultiValue","2025-03-22 MLB: Hardcoded MultiValue attribute","False"
"People.csv","finalGame","String","MLB: Final Game - Date of a player’s last MLB game.","True"
"Teams.csv","FP","String","MLB: Fielding Percentage - Ratio of successful fielding plays.","True"
"Teams.csv","franchID","String","MLB: Franchise ID - Unique identifier for a team franchise.","True"
"TeamsFranchises.csv","franchName","String","MLB: Franchise Name - Official name of a team franchise.","True"
"Batting.csv","G","Integer","MLB: Games - Number of games a player participated in.","True"
